"REF_DATE","GEO","DGUID","Population centre and rural areas","Class of worker","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-10","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6659.9","","","","1"
"2011-11","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6678.5","","","","1"
"2011-12","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6649.4","","","","1"
"2012-01","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6550.1","","","","1"
"2012-02","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6545.7","","","","1"
"2012-03","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6581.9","","","","1"
"2012-04","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6655.3","","","","1"
"2012-05","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6735.7","","","","1"
"2012-06","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6791.6","","","","1"
"2012-07","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6791.4","","","","1"
"2012-08","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6795.5","","","","1"
"2012-09","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6720.3","","","","1"
"2012-10","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6730.2","","","","1"
"2012-11","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6758.2","","","","1"
"2012-12","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6779.2","","","","1"
"2013-01","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6653.3","","","","1"
"2013-02","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6707.1","","","","1"
"2013-03","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6672.6","","","","1"
"2013-04","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6739.2","","","","1"
"2013-05","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6880.6","","","","1"
"2013-06","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6929.1","","","","1"
"2013-07","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6884.3","","","","1"
"2013-08","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6917.3","","","","1"
"2013-09","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6842.0","","","","1"
"2013-10","Ontario","2016A000235","Total, all population centres and rural areas","Total employed, all classes of workers","Total employed, all industries","Persons","249","thousands","3","v1235027639","7.1.1.1","6840.2","","","","1"
