,"Total employed, all industries 4",Goods-producing sector 5,Agriculture 6,"Forestry, fishing, mining, quarrying, oil and gas 7 8",Utilities,Construction,Manufacturing,Services-producing sector 9,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 10",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration,"Total employed, all industries 4",Goods-producing sector 5,Agriculture 6,"Forestry, fishing, mining, quarrying, oil and gas 7 8",Utilities,Construction,Manufacturing,Services-producing sector 9,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 10",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration,"Total employed, all industries 4",Goods-producing sector 5,Agriculture 6,"Forestry, fishing, mining, quarrying, oil and gas 7 8",Utilities,Construction,Manufacturing,Services-producing sector 9,Wholesale and retail trade,Transportation and warehousing,"Finance, insurance, real estate, rental and leasing","Professional, scientific and technical services","Business, building and other support services 10",Educational services,Health care and social assistance,"Information, culture and recreation",Accommodation and food services,Other services (except public administration),Public administration
2014-10-01,"6,892.60","1,423.40",80.1,32.1,50.2,488.1,773,"5,469.20","1,065.10",319.5,510.9,546.7,340.4,500.1,800.4,301.7,457.1,263.2,364,"5,840.70","1,202.10",38.2,31,50.2,345.9,736.8,"4,638.60",956.4,258.1,427.9,351.6,252.9,471,703.3,241.9,425.1,186.4,364,"1,051.90",221.3,41.9,x,x,142.2,36.2,830.5,108.7,61.4,83,195.2,87.5,29.1,97.1,59.8,31.9,76.8,x
2014-11-01,"6,857.10","1,415.30",73.8,35.3,50.1,473.7,782.5,"5,441.80","1,060.50",313.8,512.3,550.6,330.8,516.8,801.3,301.9,440,259.5,354.3,"5,803.50","1,193.40",32.6,32.5,50.1,330.2,748,"4,610.10",949.9,253.1,427.5,355,242.4,488.8,703.4,241.7,411.2,183,354.3,"1,053.60",222,41.2,2.8,x,143.5,34.4,831.7,110.6,60.7,84.8,195.6,88.4,28,97.9,60.2,28.8,76.5,x
2014-12-01,"6,839.50","1,379.10",74.7,33.9,50.5,456.1,763.8,"5,460.40","1,079.60",315.9,516.7,552,319.1,520.8,804.4,302.4,441.3,250.2,358,"5,794.40","1,156.90",33.2,32.7,50.5,307.9,732.7,"4,637.50",966.9,259.9,425.2,359.8,234.3,491.4,708.8,247.3,407.1,178.7,358,"1,045.10",222.2,41.6,x,x,148.2,31.2,823,112.7,56,91.5,192.2,84.7,29.4,95.6,55.1,34.1,71.6,x
2015-01-01,"6,732.30","1,329.20",71.2,31,50.3,435.4,741.3,"5,403.20","1,059.60",311.8,516.1,562.6,310.5,529.5,796.7,289.1,428.4,252.8,346,"5,687.90","1,101.00",29.2,29.8,50.3,279.6,712,"4,586.90",951,253,421.5,355.7,228.5,504.6,709.6,234.3,397.8,185,346,"1,044.40",228.2,42,x,x,155.8,29.3,816.3,108.6,58.8,94.6,206.8,82,24.9,87.2,54.8,30.6,67.8,x
2015-02-01,"6,776.30","1,338.90",69.2,33,50.9,443.7,742.2,"5,437.30","1,061.60",313.2,511,559.8,320.1,543.8,796.3,289.1,439.5,255.8,347,"5,740.90","1,107.40",28.6,31.7,50.9,283.3,712.9,"4,633.50",953.6,252.8,407.5,360,248.7,515.6,707.5,240,409.5,191.5,347,"1,035.40",231.6,40.6,x,x,160.3,29.3,803.8,108,60.4,103.6,199.9,71.4,28.2,88.9,49.1,30.1,64.3,x
2015-03-01,"6,776.90","1,336.80",67.9,34.8,50.9,441,742.2,"5,440.10","1,074.10",319.8,512.7,558.9,308.8,529.2,794.9,294.7,445.4,261.4,340.1,"5,741.30","1,103.90",24.3,32.8,50.9,282.6,713.2,"4,637.40",977.2,256.6,400.1,364.9,248.2,503.9,701.7,238.9,413.4,192.5,340.1,"1,035.60",232.9,43.6,2,x,158.4,28.9,802.7,97,63.2,112.6,194.1,60.6,25.3,93.2,55.8,32.1,68.9,x
2015-04-01,"6,806.10","1,360.30",72.5,38.2,50.2,456.1,743.3,"5,445.80","1,058.20",312.9,506.6,567.4,327.5,541.9,790.7,288.5,450.3,266.7,335.1,"5,757.60","1,123.30",31.2,35.7,50.2,293.8,712.4,"4,634.30",952.1,246.2,396.8,381.7,258.9,514.6,698.9,238.1,415.6,196.5,335.1,"1,048.50",237,41.2,2.5,x,162.4,31,811.4,106.1,66.7,109.9,185.8,68.6,27.3,91.8,50.4,34.6,70.2,x
2015-05-01,"6,961.40","1,425.30",79.3,45,52.3,476.1,772.8,"5,536.00","1,081.30",311.4,528.5,566.4,347.9,525,801.4,306.8,451.4,269.5,346.4,"5,904.70","1,203.30",40,43.5,52.3,321.2,746.3,"4,701.40",965.9,249,421.4,377,283.1,491.3,705.4,249.3,411,201.5,346.4,"1,056.70",222,39.3,1.5,x,154.9,26.4,834.6,115.4,62.4,107,189.4,64.8,33.7,96,57.5,40.4,68,x
2015-06-01,"7,022.90","1,447.30",77.3,47.3,51.1,494.7,776.8,"5,575.60","1,065.00",314.3,539.8,573,350.9,515,812.8,305.7,467.6,275.7,355.8,"5,961.00","1,213.70",37.6,45.1,51.1,331.3,748.6,"4,747.30",955.8,246.7,431.2,393.4,277,488.3,718.2,251.8,424.2,204.9,355.8,"1,061.90",233.6,39.7,2.2,x,163.4,28.2,828.4,109.2,67.6,108.6,179.6,74,26.6,94.6,53.8,43.5,70.8,x
2015-07-01,"6,974.00","1,458.00",80.5,45,50.8,498.7,783.1,"5,516.00","1,051.70",308.9,535.9,590.4,334.9,449.9,805.4,329.7,475.7,279.7,353.7,"5,895.30","1,222.60",38.7,43.2,50.8,334.2,755.6,"4,672.70",942.6,234.7,431.4,407.7,257.8,423.6,708,279.3,431.2,202.6,353.7,"1,078.70",235.5,41.8,1.7,x,164.5,27.4,843.3,109.1,74.1,104.5,182.7,77.1,26.2,97.5,50.4,44.5,77.1,x
2015-08-01,"7,003.60","1,478.20",84.8,44.8,51.5,509.8,787.2,"5,525.50","1,050.20",314,537.4,591.4,332,462.2,807.3,331,466.7,279.2,354,"5,924.30","1,243.10",42.5,40.3,51.5,349.4,759.4,"4,681.20",934.4,245.3,442.5,399.7,253,435.5,706.7,278.7,429.7,201.7,354,"1,079.30",235,42.3,4.5,x,160.4,27.8,844.3,115.8,68.7,94.9,191.7,79,26.7,100.6,52.3,37,77.5,x
